Protein.IDs	Majority.protein.IDs	Fasta.headers	125amol-12500amol_PValue	25000amol-12500amol_PValue	2500amol-12500amol_PValue	250amol-12500amol_PValue	50000amol-12500amol_PValue	5000amol-12500amol_PValue	500amol-12500amol_PValue	50amol-12500amol_PValue	125amol-12500amol_AdjPVal	25000amol-12500amol_AdjPVal	2500amol-12500amol_AdjPVal	250amol-12500amol_AdjPVal	50000amol-12500amol_AdjPVal	5000amol-12500amol_AdjPVal	500amol-12500amol_AdjPVal	50amol-12500amol_AdjPVal	125amol-12500amol_log2FoldChange	25000amol-12500amol_log2FoldChange	2500amol-12500amol_log2FoldChange	250amol-12500amol_log2FoldChange	50000amol-12500amol_log2FoldChange	5000amol-12500amol_log2FoldChange	500amol-12500amol_log2FoldChange	50amol-12500amol_log2FoldChange	featureAvg	Sample.1_Tr_1	Sample.1_Tr_2	Sample.1_Tr_3	Sample.2_Tr_1	Sample.2_Tr_2	Sample.2_Tr_3	Sample.3_Tr_1	Sample.3_Tr_2	Sample.3_Tr_3	Sample.4_Tr_1	Sample.4_Tr_2	Sample.4_Tr_3	Sample.5_Tr_1	Sample.5_Tr_2	Sample.5_Tr_3	Sample.6_Tr_1	Sample.6_Tr_2	Sample.6_Tr_3	Sample.7_Tr_1	Sample.7_Tr_2	Sample.7_Tr_3	Sample.8_Tr_1	Sample.8_Tr_2	Sample.8_Tr_3	Sample.9_Tr_1	Sample.9_Tr_2	Sample.9_Tr_3
sp|P06103|EIF3B_YEAST	sp|P06103|EIF3B_YEAST	sp|P06103|EIF3B_YEAST Eukaryotic translation initiation factor 3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRT1 PE=1 SV=1	0.257975719330064	0.972131001238003	0.765000708827783	0.718502588528067	0.455384706629581	0.926726478991413	0.293677383638072	0.788853271167857	0.973989960735955	0.991948625721696	0.996848488371953	0.96639879618124	0.878263525860902	0.993787306985404	0.745191399574503	0.976922268263226	-0.862550436704772	0.0260923831726352	0.199968589803202	0.269776038379074	-0.503155522238259	-0.0868907533865659	-0.714113234045126	-0.179098994934357	23.0528235527592	22.7330997527943	23.5731145984117	23.5080907072447	21.0353011838477	NA	23.7824679817099	23.3548778065666	23.2401769987458	NA	23.0939075270488	23.601615748674	23.7186875521375	23.606368160165	23.4760539555603	NA	21.4647830371789	23.8214314506894	23.0186240038676	23.184544266097	NA	NA	21.4232677699749	23.2717035208648	22.9769940654756	22.8080167560189	23.2070077644517	23.261983553177
sp|P06105|SC160_YEAST	sp|P06105|SC160_YEAST	sp|P06105|SC160_YEAST Protein SCP160 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCP160 PE=1 SV=3	0.328967009469754	0.185261807513028	0.331128151711413	0.101917398336056	0.353287335559094	0.526542871426346	0.408131876491705	0.915616454712712	0.999903620391244	0.991948625721696	0.996848488371953	0.816460660630293	0.849857135912115	0.832672700139226	0.813789951474872	0.978978053499974	0.843712648634252	1.03535055748183	0.751188025963035	1.29463846658647	0.716669173890864	0.485904127398232	0.712316458492207	0.0808697377162666	23.5050557125218	24.7765567260068	21.2738388437287	22.5200613500662	24.5683091807861	22.8327540630169	NA	23.7040876961367	24.7041404792719	23.2682804168386	23.4527449710517	24.0138453713713	23.3574306552678	24.2558031315947	24.553854716152	23.6447144718144	23.4972875892763	23.1129733067936	24.1102035454044	22.2201633774824	23.545807252416	24.262198672098	23.8528144579098	NA	23.2854564056091	22.7363036530922	21.8695908311973	24.207171648661
sp|P06106|CYSD_YEAST	sp|P06106|CYSD_YEAST	sp|P06106|CYSD_YEAST Homocysteine/cysteine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET17 PE=1 SV=3	0.668942605552623	0.389028456383298	0.731531411512115	0.735729284782106	0.780596939970998	0.796824982990498	0.388829539050336	0.508251546920688	0.999903620391244	0.991948625721696	0.996848488371953	0.96639879618124	0.941416569193692	0.956487619823445	0.799260719159023	0.971868722097509	0.237337304079066	0.481386517829563	0.190278829105502	0.187178304154269	0.154404671391095	-0.14269806506913	0.481592131303032	0.368342337077696	26.8219058848597	27.1596176172086	26.1320258407527	26.5214668533273	27.2118753757779	27.1942272243964	26.1190196233515	26.8677353473033	27.4764557472985	26.9130787701755	27.1132674804203	27.1501560217617	26.1205232964231	26.2641333003203	26.8120092172121	27.298502706219	27.4465587109271	25.5120758883958	27.317689726139	27.1718828986579	25.1182671986964	27.0948660187269	26.7315624569879	27.353296807611	27.1730274405988	26.8529334872437	26.5657552239011	27.4994486113769
sp|P06168|ILV5_YEAST	sp|P06168|ILV5_YEAST	sp|P06168|ILV5_YEAST Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV5 PE=1 SV=1	0.233039012247961	0.40623792208577	0.513143224423445	0.662500034547137	0.166118387827057	0.138225307114787	0.0696839037579125	0.076342814781394	0.967215933188181	0.991948625721696	0.996848488371953	0.96639879618124	0.771957824129573	0.557603019455908	0.529788583364951	0.620253502902435	0.554833072772109	0.382936635499803	-0.300553809724061	0.200017120935733	0.648214472037573	0.696333940498139	0.863736060754839	0.842330847249674	27.6004965021217	27.494345226116	26.9837018442519	27.0274929893227	28.1052457056276	27.5564005717776	27.5083930006017	27.6301343417995	27.4202924351734	27.6039231892171	27.1333984355265	27.4552089305898	26.0152712644021	28.0186070260911	26.2719171954288	27.8150672009779	28.575136191233	26.8434997816332	28.0315475029371	27.7240335293041	27.8314088274135	28.0390995244674	28.3443500946627	27.9149612534441	27.8374368938483	27.5662344353314	28.0754619300806	28.3908362360276
sp|P06169|PDC1_YEAST;sp|P26263|PDC6_YEAST;sp|P16467|PDC5_YEAST;sp|Q07471|THI3_YEAST	sp|P06169|PDC1_YEAST	sp|P06169|PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7	0.630912527199461	0.839902447870201	0.533933519447887	0.745101879605774	0.6580269485355	0.636915416994	0.471446134719142	0.699690852976595	0.999903620391244	0.991948625721696	0.996848488371953	0.96639879618124	0.938361058107928	0.891319625814053	0.821641629699147	0.976922268263226	-0.153561494493822	0.0644205557842064	-0.199190174812358	0.103752983253578	0.141418151439172	-0.150853256880762	-0.230981865834291	-0.123168028906424	31.3259817878562	31.4504183980319	31.3997343794432	31.3105136295771	31.1038710556514	31.3827281554135	31.2133827125058	31.2809050939405	31.7493516910987	31.3236712893656	31.4048684404655	31.1435785025061	31.0146489396435	31.5662888811053	31.318939727149	31.5866967485586	31.8199313104948	31.1447335583282	31.6202559925467	31.2222786380416	31.0170410285055	31.4687869698628	30.3589861805367	32.0451805223636	31.063554106649	31.3522130751922	30.996715393744	31.4422338513967
sp|P06182|CCHL_YEAST	sp|P06182|CCHL_YEAST	sp|P06182|CCHL_YEAST Cytochrome c heme lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC3 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8453215878413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.7804468535661	20.3075254715084	NA	NA	NA
sp|P06208|LEU1_YEAST;sp|Q12166|LEU9_YEAST	sp|P06208|LEU1_YEAST	sp|P06208|LEU1_YEAST 2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LEU4 PE=1 SV=1	0.918627783415909	0.814608823433456	0.813719598598809	0.427207648938025	0.840858255421202	0.176058499128043	0.221075223095322	0.942732515109278	0.999903620391244	0.991948625721696	0.996848488371953	0.963284306364745	0.952547166975599	0.585557321790068	0.681279455283781	0.990940427813729	-0.0946514850941078	0.217363425369328	-0.218426901457477	0.741199365384325	-0.186101207834376	1.28184471309552	1.15456738114119	0.0665502849272883	25.0692737317473	25.8564760620688	24.464882725891	23.8990138821048	25.4553814070514	25.1082503751446	23.3727864325863	25.1287262754004	23.9980022428401	25.7457344279321	25.2244975248213	25.1351221325246	23.2054723083463	26.0204521896841	24.6446044641861	25.7789141123474	26.20786050365	21.8207305651196	25.6334779777919	25.6846649495851	26.3227004341842	26.0585414255819	26.2829318806308	25.6022956238236	25.7988473090338	23.3572964073692	24.9677201977857	26.0950069196916
sp|P06367|RS14A_YEAST;sp|P39516|RS14B_YEAST	sp|P06367|RS14A_YEAST;sp|P39516|RS14B_YEAST	sp|P06367|RS14A_YEAST 40S ribosomal protein S14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS14A PE=1 SV=5;sp|P39516|RS14B_YEAST 40S ribosomal protein S14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN	0.61173449554482	0.78280611599724	0.887298843991198	0.890141171969866	0.668191342752088	0.0192941362764623	0.916061933546974	0.838448261128685	0.999903620391244	0.991948625721696	0.996848488371953	0.968889119537838	0.938361058107928	0.407417107404893	0.987990471632972	0.976922268263226	-0.326590675835465	0.176970249959467	0.0909210288688698	-0.0886120787460385	0.275533948352201	-1.6065871104089	-0.0676081379037967	0.130830741328502	27.2606674440662	27.5841984661649	27.2196502315379	27.4498676459576	27.7820054732774	27.5024868246528	25.9894520182238	27.5669602100931	27.9520485465219	27.2656183369238	27.6349877033962	27.5450265533351	27.3464651735357	27.2714185722088	27.4348377886848	27.2816237465287	27.2154903416318	27.888264160668	27.9765636864172	27.3427405583237	23.4027560297112	26.6884584243988	27.0660975688121	27.5106581840485	27.4741361770884	27.6216364032187	27.7018029756391	27.3227691887881
sp|P06396ups|GELS_HUMAN_UPS;CON__Q3SX14	sp|P06396ups|GELS_HUMAN_UPS;CON__Q3SX14	sp|P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.1045360499203	24.1635385088648	24.2077674343564	NA	NA	NA	26.8555496510746	27.1836662723616	27.4214967887294	NA	NA	NA	NA	NA	NA	28.5538766823918	27.242363096391	27.9651567554933	21.3635123893785	24.319551401839	22.5118346753806	NA	NA	NA	NA	NA	NA
sp|P06634|DED1_YEAST;sp|P24784|DBP1_YEAST	sp|P06634|DED1_YEAST	sp|P06634|DED1_YEAST ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DED1 PE=1 SV=2	0.111477878560646	0.981224856794975	0.373865284671902	0.840142476712228	0.82158349911397	0.870436524069676	0.768544757260918	0.278369730761942	0.955244671644286	0.991948625721696	0.996848488371953	0.96639879618124	0.949248936597953	0.971907200725448	0.937992052411188	0.916349427908684	-1.17069992821374	-0.0186164368275961	-0.636796169695238	0.159664094010004	0.178528468504904	-0.129077114122047	-0.208489107777336	0.780816256181499	22.6924074258443	23.6122304908168	22.422421050172	22.4762023224638	22.7324167124402	22.2285545009561	20.0377828654151	22.2636176530731	NA	23.3730520489068	23.6118929261682	22.177611756044	20.8109606721547	23.6356658729798	NA	22.3575648906753	NA	23.0812018943097	22.9497576183352	23.0838331275509	NA	22.3319152198401	22.3273991390569	22.3414753888534	23.2165120122103	23.7370674043031	23.2212850178105	23.8949502098835
sp|P06732ups|KCRM_HUMAN_UPS	sp|P06732ups|KCRM_HUMAN_UPS	sp|P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.610598196154	17.8389822874804	24.2183758066617	NA	NA	NA	25.6730355557253	26.065748429484	26.803658558659	21.6631862921648	21.8556684549649	20.1719439638223	NA	NA	NA	28.0697379562756	27.1988234414762	28.1736470219014	22.6761387293699	23.2121983102814	23.7330376715779	NA	NA	NA	NA	NA	15.613242711117
sp|P06738|PHSG_YEAST	sp|P06738|PHSG_YEAST	sp|P06738|PHSG_YEAST Glycogen phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPH1 PE=1 SV=4	0.372013497820723	0.84761456082854	0.653567973984336	0.590778717733185	0.973909049941516	0.154923029025076	0.513470835245115	0.593904202495224	0.999903620391244	0.991948625721696	0.996848488371953	0.963437857056156	0.994095291538534	0.584132354469264	0.843071693229209	0.97520638142141	-0.766914934550492	-0.163557937369525	-0.382769181454428	0.459076346203972	0.0278252708173774	-1.24053375318209	-0.558827534378562	0.455189553722708	24.7568803380381	25.8400692755838	24.706302926774	24.447772868487	25.0019149592242	25.097118784494	22.5943665234751	24.0454357288069	25.5650288425426	24.8930066873867	25.7059603158551	24.7126134786782	23.4272637319482	24.6530506025959	26.1733706261948	25.544952880666	24.6189092567025	25.0985651357102	25.3601464908842	21.4995520157693	25.1046560162462	24.668335779283	23.1346757359316	25.4452487983144	24.7377379334631	25.8879737689597	25.0186494701576	25.4530904928956
sp|P06780|RHO1_YEAST	sp|P06780|RHO1_YEAST	sp|P06780|RHO1_YEAST GTP-binding protein RHO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RHO1 PE=1 SV=3	0.873246954532883	0.483308039897535	0.543485181110051	0.407752240344293	0.0945570419147942	0.295234156840351	0.995871505577836	0.841218718874927	0.999903620391244	0.991948625721696	0.996848488371953	0.963284306364745	0.718892578941244	0.69411428507294	0.998013069359075	0.976922268263226	-0.113472760614894	0.533430073937744	0.532634810721898	-0.596089823743668	1.5342461005371	0.759474428873471	-0.00367860782262497	-0.142530762342695	23.287811423163	23.1455689990538	NA	NA	22.923140299474	22.9959168626821	23.1772315531606	23.6020690343712	NA	23.7559291116119	NA	23.6782038097757	NA	22.9375254053317	22.8422628611679	21.8686492594308	24.6798150995909	NA	NA	23.7822679962589	23.6408592050475	24.2920030824754	22.9190349709179	23.2675662467132	23.2390699560624	23.049479667653	24.2280259766954	21.7316090657849
sp|P06787|CALM_YEAST	sp|P06787|CALM_YEAST	sp|P06787|CALM_YEAST Calmodulin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CMD1 PE=1 SV=1	0.0968963593191864	0.241094559885197	0.21827936585231	0.626089774385402	0.78366368286266	0.155635976770605	0.182317254686424	0.355829432264375	0.955244671644286	0.991948625721696	0.996848488371953	0.96639879618124	0.941416569193692	0.584132354469264	0.671003719856757	0.951451146279263	-1.16648195994073	0.807307130212042	0.949859536738259	-0.330109489663094	0.207483767110414	0.987000421544373	0.923854794188134	0.705613348226915	24.8338175037051	25.243289641994	23.9184345416533	24.4159000783213	24.6225443076675	22.6284526601796	22.8271814142993	25.6227397815572	24.7702682710984	25.6065375999491	25.1715775340592	25.7798910473964	NA	25.7384854638975	22.5035122956526	24.3452980334292	25.4773516489148	NA	23.9893653932851	25.8817103337782	24.9194351183114	25.7374800745121	25.4073344200396	25.7103816470827	25.2314725774107	25.1810518356487	NA	25.2819243687842
sp|P07143|CY1_YEAST	sp|P07143|CY1_YEAST	sp|P07143|CY1_YEAST Cytochrome c1, heme protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYT1 PE=1 SV=1	0.998204316840017	0.403599429630391	0.203016148155263	0.85336492177731	0.680597023481278	0.0262528427175671	0.181024625463167	0.990515305281923	0.999903620391244	0.991948625721696	0.996848488371953	0.96639879618124	0.938361058107928	0.407417107404893	0.671003719856757	0.995696304675159	-0.00155913424676157	-0.585634740153996	-0.907097496533599	0.181187751970796	-0.319774368192359	-2.3763085850611	-1.06879074249931	0.0082354633556676	23.2383751089357	23.7135576851889	23.5917213842006	23.7570489398761	23.6564370840106	24.0300218156334	23.3711917068813	23.4135132720574	21.9121057617692	23.979804754977	23.5154486428037	21.3521318150646	23.4734550617965	NA	23.868630421726	NA	NA	24.1811656053832	22.5541709977425	NA	NA	21.3111340846941	21.537868653011	NA	23.6994352015008	23.9230677402505	23.3003369184145	23.8636297406676
sp|P07149|FAS1_YEAST	sp|P07149|FAS1_YEAST	sp|P07149|FAS1_YEAST Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2	0.720760801364275	0.550486178393756	0.789812858565579	0.497048933729013	0.180505883507031	0.0472888571187231	0.237229204254668	0.551744073364784	0.999903620391244	0.991948625721696	0.996848488371953	0.963437857056156	0.773665930851139	0.416592312712561	0.681297596037094	0.97520638142141	0.180862969599136	0.302938130021605	-0.134780809174465	0.345042377845168	0.691627750230275	1.05219933756461	0.607432337060239	0.301974372050438	27.7109652195605	28.0067267870948	26.9001201726881	27.1102832104996	28.5862761938444	27.3980325531591	26.5754103320764	27.3370504513014	27.3601799877913	28.2287141212546	27.0617787351009	27.8476868840732	26.703322123585	28.2415905202374	26.9424602752539	27.8682065083267	28.4497889499238	27.3232847439005	28.318939727149	27.8393004916768	28.5820100365488	28.7524176547507	28.3470568403739	28.195354183215	27.2970161578743	27.5165310700453	27.4077882200472	27.9987339963413
sp|P07170|KAD2_YEAST	sp|P07170|KAD2_YEAST	sp|P07170|KAD2_YEAST Adenylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADK1 PE=1 SV=2	0.637026556929142	0.224930116667933	0.923552131864592	0.23978950523978	0.355125572281495	0.2074139096144	0.623744098239082	0.880640966831959	0.999903620391244	0.991948625721696	0.996848488371953	0.905327723864477	0.849857135912115	0.618896343204257	0.885365663740896	0.976922268263226	0.418796459386567	-1.0936991930429	-0.0849474503936349	-1.05825773164414	0.827082247003531	-1.1378635337864	0.435480899858831	0.13294570437127	26.1066516878544	26.9356204538313	25.4739194934648	26.4305693156827	27.0115865984133	26.8452957423294	26.2396163003958	26.4097638272633	27.2969286661346	21.8523191904522	26.4474891309475	25.6183492042727	26.5194285765777	26.2511323147422	25.0320837406735	24.3821200126307	26.9445841051634	27.418845882538	26.957926016288	26.1703745322679	24.7288928865942	24.5272512427575	26.7562091501776	26.3401445769667	27.050198235411	26.173770906238	26.8476868840732	26.2174885857814
sp|P07213|TOM70_YEAST	sp|P07213|TOM70_YEAST	sp|P07213|TOM70_YEAST Mitochondrial import receptor subunit TOM70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM70 PE=1 SV=2	0.979127290589598	0.976822287211426	0.955066759587734	0.987468494029337	0.79649149215933	0.518444875417215	0.885862311087129	0.4593925990164	0.999903620391244	0.991948625721696	0.996848488371953	0.991039808655121	0.944768621278032	0.829212985177391	0.973571450798726	0.971868722097509	-0.0144685946652636	0.0215559558743017	0.0418074155027988	0.00868590957250248	0.1564353811169	-0.360096692182726	0.0794125574245044	-0.554976762605399	22.7121202178166	23.3987176012972	NA	22.1348010541832	23.6594890238874	22.2263510380222	22.3710321373152	NA	NA	22.7883152836145	NA	22.808566743243	NA	22.7976456956335	22.7824479844122	22.7462420318924	22.8503173403026	NA	22.9960720774116	22.8944136891293	21.4787715940811	22.846802623462	22.4011941078254	23.0797217481925	23.0575997994762	NA	NA	22.2117825651348
sp|P07244|PUR2_YEAST	sp|P07244|PUR2_YEAST	sp|P07244|PUR2_YEAST Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE5,7 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.1440912182596	22.6210019278082	22.1597715785813	23.3060516736456	22.8219763485989	23.2816414319249	22.440884371292	22.3161710269749	NA	22.2378016398319	NA	22.0327143535262	NA	NA	NA	23.3459747514119	22.5343342328233	NA	NA	NA	NA	22.8806365351771	NA	NA
sp|P07245|C1TC_YEAST	sp|P07245|C1TC_YEAST	sp|P07245|C1TC_YEAST C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE3 PE=1 SV=1	0.554377784802605	0.663336031293623	0.987666566406741	0.551264741591377	0.693460256043418	0.859230524331482	0.648541828119229	0.581459416544805	0.999903620391244	0.991948625721696	0.996848488371953	0.963437857056156	0.938361058107928	0.970394859316616	0.893192163674865	0.97520638142141	-0.206625324103463	0.151826579718907	0.00601325580112899	0.208266340646638	-0.137414825930961	0.0617316006487343	0.159005675120568	-0.192547059652163	26.0381841970835	26.4809142986318	25.9138776994539	25.7030580388248	26.5459250570983	25.416028982453	25.5160200250488	26.0150585339996	26.2529735924467	26.2852976496209	25.8564285682812	26.2208313012614	NA	26.3552307718196	25.7387431432297	26.6286751438011	25.6780425817727	25.7620774382529	26.245485539092	26.2779404637471	25.9981529283167	26.0069514467929	26.0933353504028	26.3959754548538	26.0855562570156	25.4447118640255	25.5667715437763	26.5087254501522
sp|P07246|ADH3_YEAST	sp|P07246|ADH3_YEAST	sp|P07246|ADH3_YEAST Alcohol dehydrogenase 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH3 PE=1 SV=2	0.0265072412567339	0.134849262308675	0.20799626833629	0.0503523074550872	0.169691629808663	0.0803181416144473	0.0430303621941866	0.382993251398983	0.838361935605022	0.991948625721696	0.996848488371953	0.816460660630293	0.771957824129573	0.487080266375178	0.455175543356568	0.951451146279263	1.44908653183208	0.936317294676424	0.987349324093231	1.12364175435887	0.764959063792968	0.992098296490866	1.16664322951756	0.477671263392502	24.0383285798092	24.5566636799227	22.4896157407742	22.546984866587	24.262987167159	25.0306954213611	NA	24.1162455900051	NA	24.1518985242037	NA	24.1851040865212	NA	24.5403778119997	24.1594636394038	24.264348098957	24.5530344037843	22.9354765817736	24.3996304931049	24.1485665740287	24.2629155035949	24.1580770991329	24.2458300459625	24.4489072609417	24.3984566689324	23.8278404181316	22.7335549334388	24.464882725891
sp|P07251|ATPA_YEAST	sp|P07251|ATPA_YEAST	sp|P07251|ATPA_YEAST ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP1 PE=1 SV=5	0.700855489385833	0.957251037894661	0.0555805919436792	0.815418581142076	0.992917214721214	0.704504242635884	0.416623820541101	0.480082052972591	0.999903620391244	0.991948625721696	0.996848488371953	0.96639879618124	0.994709484061866	0.919680874394804	0.813789951474872	0.971868722097509	0.147371297410359	0.0205267974867276	-0.767014485462237	0.0894497448950311	-0.00339924660640278	-0.145477783074405	0.313564085819234	-0.272061260747869	26.9697206084325	27.0900267855409	26.924223718711	27.1005916044721	27.4338832570025	27.0047461290403	27.1183266149123	26.7072776050636	27.2333391017793	27.2358057943413	26.3731184453466	26.7316919221507	25.70898828484	27.5607794552715	26.3171204012846	27.505291486853	27.1192175646348	26.8446973371439	27.1407294671261	27.2367183149542	26.3694454548534	27.0722449896932	27.2223247077208	27.6992233675615	27.1339862908994	26.9721322804829	25.9494459490095	27.377080096988
sp|P07256|QCR1_YEAST	sp|P07256|QCR1_YEAST	sp|P07256|QCR1_YEAST Cytochrome b-c1 complex subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COR1 PE=1 SV=1	0.193397648194842	0.113086295024691	0.515870950893902	0.127472843541203	0.10482392573567	0.229124107998501	0.0989335791889933	0.785585215754261	0.957181034026146	0.991948625721696	0.996848488371953	0.816460660630293	0.765490510306538	0.63901447205612	0.587734300058688	0.976922268263226	-1.11157220775473	1.36872994031707	0.546259976707798	1.31339229606856	1.56890052607594	1.02456946563413	1.42933841317143	0.227706443980999	24.5889954332616	24.5965633163105	24.1476353524112	22.9997406268484	24.6676863310787	23.543331129389	20.1982052118382	25.1669892919616	25.205047160327	25.4780926642327	25.0044032527033	25.5103261796233	22.8679897933669	25.6828716012203	24.5670908107839	25.4341537717716	25.8822469335166	NA	25.0848469823487	24.1882773369086	25.3152728617982	25.3140974937657	25.8540756694598	25.2497407723272	24.9281380932974	23.3761031268626	24.2681376110933	24.7828178895572
sp|P07257|QCR2_YEAST	sp|P07257|QCR2_YEAST	sp|P07257|QCR2_YEAST Cytochrome b-c1 complex subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR2 PE=1 SV=1	0.324679861692251	0.884724147641605	0.277793260977572	0.913333280379535	0.709055869481164	0.347608501091866	0.474859327094101	0.777790069100168	0.999903620391244	0.991948625721696	0.996848488371953	0.975522287092173	0.938361058107928	0.699523807594652	0.821641629699147	0.976922268263226	-0.607621326817892	0.08841420851574	-0.671277588870392	0.0663628236144405	0.227868372694839	0.578834310087672	0.438390655750375	-0.172215395150086	26.9347457892103	27.4073020002906	27.0324411217992	26.381575558933	27.4756056711858	26.3488303863814	25.1740186430019	27.0484323270151	26.9878269344629	27.050302045092	27.5094505288218	26.4907850327735	24.8072503528163	27.2541277052618	26.1984487884738	27.5678306581305	27.6771420607958	26.0781423361721	27.7496394021394	27.6258219727351	27.6792245022566	27.2527751362941	27.3068687051336	27.4540324048164	27.3755895383239	26.7671137348329	26.209813573181	27.3277451875586
sp|P07259|PYR1_YEAST	sp|P07259|PYR1_YEAST	sp|P07259|PYR1_YEAST Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5	0.714569155030981	0.314367496646834	0.527056201392914	0.47061394929219	0.436484654105522	0.169566310675508	0.213190964756455	0.902592299670731	0.999903620391244	0.991948625721696	0.996848488371953	0.963284306364745	0.878263525860902	0.584132354469264	0.681279455283781	0.976922268263226	-0.239224206969929	0.665212651805838	-0.415074325545632	0.474160806121276	0.511932014173642	0.918039516142002	0.828525344673473	0.0799385006165743	28.8015379514238	29.213266819423	28.3989703345292	27.85120659998	29.4576373809918	28.1176828088658	27.1704509431648	29.1284657204814	28.7725352738116	29.5580807150567	28.6043121177538	29.3050427837895	26.308865875752	29.3204469081362	28.2045248772593	29.3609543869005	29.5179767974794	28.0776535079404	29.4036094910333	29.2989614779372	29.5434048849189	29.3751959395021	29.5595036532649	29.5184271178278	28.8710890168599	28.3333014188468	28.0549657664652	29.3149920704699
sp|P07260|IF4E_YEAST	sp|P07260|IF4E_YEAST	sp|P07260|IF4E_YEAST Eukaryotic translation initiation factor 4E OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC33 PE=1 SV=1	0.173043430444183	0.522287514669394	0.880038379991249	0.618486578044072	0.377357425575521	0.927834079130957	0.267204903343452	0.0451784891734665	0.955244671644286	0.991948625721696	0.996848488371953	0.963437857056156	0.858333488501696	0.993787306985404	0.717114664738043	0.544821795070308	0.913460287429228	0.420099436081028	0.098546056715076	0.291782942365202	-0.521186594710763	0.0528848161205744	0.659333902597304	1.2396734930422	23.8746138783301	23.9685114141224	22.9047389795141	23.746631586517	24.7174329437179	24.1894089512429	NA	23.9061896533828	NA	24.0139305388816	23.2225237118318	24.0544897217007	NA	24.6085693266657	22.8470703487428	24.0395911318406	21.9849579888688	22.4545282313114	24.616835975841	24.0576328493947	23.1225784179115	23.598325161209	24.9611981368872	23.786062987479	23.8506225635792	24.7592351885283	24.7339169064254	24.8457503643264
